cve_id,vendor
CVE-2002-2359,mozilla
CVE-2002-2358,opera_software
CVE-2002-2357,mailenable
CVE-2002-2356,hamweather
CVE-2002-2355,netgear
CVE-2002-2354,netgear
CVE-2002-2353,tftpd32
CVE-2002-2351,qualcomm
CVE-2002-2350,phpoutsourcing
CVE-2002-2349,phpbb
CVE-2002-2348,authoria
CVE-2002-2347,oracle
CVE-2002-2346,phpbb
CVE-2002-2345,oracle
CVE-2002-2344,ensim
CVE-2002-2343,nocc
CVE-2002-2342,joe_depasquale
CVE-2002-2341,sonicwall
CVE-2002-2340,phorum
CVE-2002-2339,script_shed
CVE-2002-2338,mozilla
CVE-2002-2338,netscape
CVE-2002-2336,symantec
CVE-2002-2335,john_drake
CVE-2002-2334,joseph_allen
CVE-2002-2333,kde
CVE-2002-2332,opera_software
CVE-2002-2331,cascadesoft
CVE-2002-2330,uninet
CVE-2002-2329,mirabilis
CVE-2002-2328,microsoft
CVE-2002-2327,sun
CVE-2002-2326,apple
CVE-2002-2325,university_of_washington
CVE-2002-2324,microsoft
CVE-2002-2323,sun
CVE-2002-2322,ultimate_php_board
CVE-2002-2321,phplinkat
CVE-2002-2320,mysimplenews
CVE-2002-2319,mysimplenews
CVE-2002-2318,blueface
CVE-2002-2314,mozilla
CVE-2002-2311,microsoft
CVE-2002-2311,opera_software
